ups,account_created_utc,link_karma,comment_karma,num_comments,image_provided,reciprocate,exchange,text_length,money,time,job,student,family,craving,label
7,1415418145.0,763,290,9,0,1,0,164,2,10,0,3,0,1,got_pizza
0,1416196894.0,1459,6648,2,1,0,1,93,0,0,0,0,0,0,got_pizza
2,1394414629.0,34,71,1,0,0,0,102,4,1,0,4,0,1,got_pizza
0,1413081339.0,1,1298,2,0,0,0,147,1,1,1,0,0,0,got_pizza
2,1294426404.0,218,476,0,0,0,0,58,1,3,1,1,0,0,got_pizza
1,1417495665.0,95,4324,3,0,1,0,120,0,4,0,2,0,3,got_pizza
8,1402357737.0,1251,3281,4,0,0,0,137,1,5,0,0,0,0,got_pizza
1,1396070830.0,21,2938,0,0,0,0,65,0,0,0,0,0,0,got_pizza
16,1372946054.0,1948,17864,2,0,0,0,131,1,4,0,0,1,1,got_pizza
3,1407877103.0,192,77,0,0,0,1,104,3,2,0,0,0,0,got_pizza
7,1322684149.0,1199,705,0,0,0,0,56,1,0,0,1,0,0,got_pizza
4,1353003056.0,38,8905,0,0,0,0,101,0,3,0,0,0,0,got_pizza
2,1345500539.0,6789,1649,6,0,0,0,52,1,1,1,0,0,0,got_pizza
6,1372308195.0,12995,2122,4,0,0,1,38,0,0,0,0,0,0,got_pizza
2,1336442042.0,29,542,9,0,0,0,84,0,3,1,0,0,0,got_pizza
8,1392225992.0,1,282,0,0,0,1,89,1,0,2,0,1,0,got_pizza
8,1416645806.0,62,698,1,0,0,0,126,1,4,1,0,0,1,got_pizza
6,1337877997.0,326,43,0,0,0,0,122,1,6,0,0,0,0,got_pizza
26,1319929502.0,6185,20221,14,1,0,0,158,0,1,2,0,0,2,got_pizza
7,1323932438.0,39,239,1,0,1,0,67,1,1,3,0,0,0,got_pizza
0,1379667591.0,810,416,0,0,1,0,69,1,4,0,0,0,0,got_pizza
6,1272702508.0,2134,1590,2,0,1,0,65,1,2,1,0,0,0,got_pizza
11,1407417555.0,2369,3101,8,0,1,0,99,1,2,0,0,0,0,got_pizza
6,1350253454.0,2827,1681,0,0,0,0,46,1,0,0,2,0,0,got_pizza
2,1329581209.0,8606,19326,1,0,0,0,100,0,3,0,1,0,3,got_pizza
33,1421854863.0,762,229,1,0,0,0,24,1,0,0,0,2,0,got_pizza
4,1421289542.0,1,171,0,0,0,0,71,0,2,0,0,0,0,got_pizza
0,1329852452.0,55,1164,2,0,0,0,60,0,4,2,0,1,0,got_pizza
13,1354124709.0,2482,574,2,0,0,0,54,0,1,0,0,1,0,got_pizza
0,1389583591.0,353,1048,2,0,0,0,91,0,2,6,0,0,0,got_pizza
3,1383027599.0,4472,392,6,0,0,0,69,0,3,0,0,2,0,got_pizza
4,1379667591.0,810,416,0,0,0,0,62,3,3,2,0,0,0,got_pizza
34,1310681670.0,12301,5986,12,1,0,0,129,0,5,1,0,0,2,got_pizza
0,1419719733.0,2,35,1,0,0,0,58,0,3,0,0,0,0,got_pizza
1,1321477378.0,773,17834,0,0,1,0,116,2,2,0,0,0,0,got_pizza
0,1379332350.0,1647,396,0,1,0,0,25,0,2,0,1,0,0,got_pizza
4,1397590596.0,1,1145,3,0,0,0,25,0,0,0,0,0,0,got_pizza
3,1388371110.0,67,300,0,0,0,0,35,1,1,0,0,1,0,got_pizza
10,1405816401.0,61,434,4,0,1,0,33,1,0,0,0,0,0,got_pizza
7,1395182327.0,4460,1972,0,1,0,0,25,0,0,0,0,0,0,got_pizza
0,1360266501.0,1129,288,0,0,1,0,57,0,0,1,0,0,1,got_pizza
47,1327135330.0,1045,2183,13,0,0,0,52,0,0,0,0,0,0,got_pizza
