account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,label
110160830.0,1321735162.0,7101,30498,2,0,0,0,0,51,no_pizza
59527160.0,1372364533.0,236,35,3,0,0,1,0,50,no_pizza
83208641.0,1348679865.0,2301,4221,23,0,0,0,0,80,no_pizza
97420878.0,1334466906.0,9742,4016,1,0,0,0,0,20,no_pizza
45067114.0,1386817486.0,1,135,3,0,0,0,0,99,no_pizza
29195944.0,1402688380.0,5,54,0,0,0,0,0,22,no_pizza
60045560.0,1371837320.0,441,947,2,0,0,0,0,77,no_pizza
18884779.0,1412978768.0,27,129,4,5,0,0,0,10,no_pizza
82889734.0,1348970321.0,3664,12625,6,1,0,0,0,51,no_pizza
97730890.0,1334114562.0,14510,6116,1,1,0,0,0,39,no_pizza
162849206.0,1268980868.0,30,9828,21,8,0,0,0,212,no_pizza
37162600.0,1394665408.0,74,758,6,0,0,0,0,96,no_pizza
64630322.0,1367197606.0,2100,248,2,0,0,0,0,19,no_pizza
40725860.0,1391096266.0,2,455,7,1,0,0,0,91,no_pizza
46159219.0,1385651047.0,696,273,7,0,0,1,0,76,no_pizza
16367377.0,1415425870.0,37,553,15,0,0,0,0,33,no_pizza
132745397.0,1298995993.0,1,546,2,0,0,0,0,59,no_pizza
191380435.0,1240356128.0,16,2298,0,0,0,0,0,33,no_pizza
49328578.0,1382401405.0,79,105,4,0,0,0,0,80,no_pizza
84463466.0,1347265102.0,440,115,4,0,0,1,0,75,no_pizza
7341488.0,1424384880.0,45,131,4,0,0,1,0,79,no_pizza
22456916.0,1409267997.0,4,86,4,0,0,0,0,177,no_pizza
101210001.0,1330509205.0,1,27,4,0,0,0,0,47,no_pizza
25208725.0,1406508762.0,458,455,22,6,0,0,1,82,no_pizza
6634020.0,1425064088.0,1,41,6,2,0,0,0,43,no_pizza
93618631.0,1338065174.0,206,801,2,2,0,0,0,20,no_pizza
15232103.0,1416431614.0,61,138,1,0,0,0,0,230,no_pizza
118345387.0,1313311779.0,2760,24132,0,0,0,0,0,41,no_pizza
14964850.0,1416690793.0,1,391,3,0,0,0,0,68,no_pizza
42669838.0,1388975694.0,1,196,2,0,0,0,0,15,no_pizza
117148855.0,1314495875.0,2,1435,2,0,0,1,0,91,no_pizza
16603341.0,1415041116.0,1,187,3,0,0,0,0,53,no_pizza
86789471.0,1344850242.0,152,1910,1,0,0,1,1,148,no_pizza
99595164.0,1332041820.0,202,3728,1,0,0,0,0,223,no_pizza
63478338.0,1368158607.0,615,1968,3,0,0,0,0,51,no_pizza
15029965.0,1416603082.0,1,9593,2,0,0,0,0,80,no_pizza
66583053.0,1365048681.0,35,762,4,0,0,0,0,73,no_pizza
46470955.0,1385160446.0,6495,2933,2,0,0,0,0,55,no_pizza
66984447.0,1364639981.0,1695,8992,1,0,0,0,0,54,no_pizza
10260680.0,1421362057.0,222,350,1,4,0,1,0,101,no_pizza
7405346.0,1424212962.0,1,544,1,0,0,0,0,133,no_pizza
51483743.0,1380134473.0,2328,960,5,0,0,1,0,95,no_pizza
82484803.0,1349128624.0,2307,852,3,0,0,1,1,252,no_pizza
44043467.0,1387563368.0,2732,3667,6,0,0,0,0,83,no_pizza
31635623.0,1399955154.0,44,311,4,0,0,0,0,138,no_pizza
65601683.0,1365971016.0,76,2580,3,10,0,0,0,82,no_pizza
37588786.0,1393979964.0,256,11274,1,0,0,0,0,117,no_pizza
77245802.0,1354317981.0,1507,7180,1,0,0,0,0,99,no_pizza
16862552.0,1414695263.0,1,122,1,1,0,0,0,69,no_pizza
68765853.0,1362791879.0,76,432,9,0,0,0,0,120,no_pizza
11033429.0,1420524014.0,1,33,3,0,0,0,0,70,no_pizza
76469016.0,1355086547.0,549,43998,2,0,0,0,0,124,no_pizza
135793015.0,1295759918.0,71,613,2,0,0,1,0,55,no_pizza
41648820.0,1389902561.0,161,2402,1,0,0,0,0,76,no_pizza
47783045.0,1383768259.0,9176,12190,7,2,0,1,0,61,no_pizza
44995244.0,1386552987.0,813,136,1,0,0,0,0,20,no_pizza
128830506.0,1302711393.0,260,12762,3,0,0,0,0,134,no_pizza
125596508.0,1305943275.0,7680,11146,1,0,0,0,0,98,no_pizza
89423095.0,1342112641.0,1,124,6,2,0,0,0,152,no_pizza
61618256.0,1369917374.0,100,956,23,9,0,0,0,77,no_pizza
69837800.0,1361689910.0,1,3965,1,8,0,0,0,72,no_pizza
112913698.0,1318613235.0,762,12582,2,7,0,0,0,123,no_pizza
93226828.0,1338298648.0,179,21885,5,0,0,0,0,102,no_pizza
56002487.0,1375503607.0,62,2936,2,2,0,1,0,47,no_pizza
29116397.0,1402371325.0,45,162,1,0,0,0,0,40,no_pizza
