account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,money,time,job,student,family,craving,label
64436980.0,1285722826.0,568,925,0,6,0,0,0,80,0,1,0,0,0,0,1
241.0,1311017898.0,1,2,7,4,0,0,0,85,4,1,2,0,0,0,1
95908063.0,1329309549.0,5637,5237,9,6,0,0,0,64,0,3,1,1,1,0,1
34481097.0,1341881691.0,207,1859,1,1,0,1,0,361,3,8,2,0,5,0,1
90061417.0,1311258272.0,3378,261,7,4,1,1,0,95,2,4,2,0,0,0,1
21410196.0,1309291526.0,113,1690,4,0,0,0,0,237,0,8,0,0,0,3,1
43597263.0,1308525794.0,5429,4016,2,0,0,0,0,18,0,0,0,0,1,0,1
35225495.0,1367209422.0,1,2865,2,0,0,0,0,69,0,1,1,0,0,0,1
78019140.0,1232682314.0,775,3229,5,0,0,0,0,125,7,3,0,3,0,0,1
53118507.0,1322886448.0,680325,34800,4,3,0,0,0,88,2,0,1,0,0,0,1
66510819.0,1290907302.0,11537,3938,7,24,0,0,0,70,1,1,1,2,0,0,1
109406250.0,1292758536.0,512,6440,1,9,0,0,0,69,0,0,0,0,0,0,1
988.0,1309481727.0,1,0,1,6,0,0,0,58,3,1,0,0,0,0,1
23871263.0,1324651500.0,1954,712,12,17,1,0,0,80,2,2,1,0,0,0,1
7091431.0,1306273674.0,1389,144,5,9,0,0,0,43,2,1,0,2,0,0,1
25571419.0,1400105440.0,47,6926,7,2,0,0,0,166,4,4,0,0,0,0,1
249507679.0,1136610000.0,3461,4418,11,11,0,0,0,183,5,3,0,0,0,0,1
16263623.0,1320157087.0,1012,2626,72,15,0,0,0,87,2,1,0,0,0,0,1
32918595.0,1306705784.0,1307,487,3,2,0,0,0,44,1,2,0,0,0,0,1
10809853.0,1303331661.0,33,175,1,8,0,0,0,98,0,3,1,0,1,0,1
17346795.0,1323496260.0,1612,463,1,3,1,0,0,97,0,1,2,0,4,0,1
8530252.0,1327965733.0,76,2233,1,1,1,0,0,45,1,3,0,0,0,0,1
19544183.0,1402429566.0,1183,672,2,0,0,1,0,147,1,4,1,0,0,2,1
58016099.0,1336539216.0,174,8013,2,0,0,1,0,138,1,5,0,0,1,0,1
46904788.0,1320874365.0,1636,383,20,7,0,0,0,67,2,2,0,1,0,0,1
5554276.0,1374341533.0,916,438,3,1,0,1,0,51,1,1,0,0,0,0,1
35287180.0,1271160394.0,8724,41001,12,8,0,0,0,207,3,2,1,0,2,0,1
36137283.0,1382792600.0,7974,4027,14,0,0,0,0,133,1,3,1,2,1,1,1
23830485.0,1316582802.0,1,10,3,1,0,0,0,68,2,3,0,0,0,0,1
3053046.0,1310336437.0,271,107,3,7,0,0,0,77,0,1,0,0,0,0,1
3694786.0,1360124095.0,1,273,10,3,1,0,0,32,0,2,0,0,0,0,1
23099263.0,1345721499.0,620,20232,2,7,0,1,0,56,2,1,2,0,0,0,1
54267228.0,1287346828.0,655,17559,1,2,0,0,0,110,0,4,2,0,0,0,1
67040758.0,1344031764.0,27,211,0,14,0,0,0,16,0,1,0,0,0,0,1
43039332.0,1321464505.0,2267,2324,2,15,0,0,0,46,0,1,0,0,0,0,1
44391833.0,1366747375.0,451,7186,1,1,0,0,0,32,0,2,0,0,0,0,1
120695440.0,1225050683.0,7795,11987,19,7,0,0,0,213,3,5,0,0,2,0,1
23719019.0,1398043080.0,983,744,2,1,0,0,0,12,0,1,0,0,0,0,1
20761651.0,1344438273.0,47,23,0,23,0,0,0,58,1,2,0,0,0,1,1
31331601.0,1392238371.0,2,268,4,7,0,0,0,196,2,3,0,0,3,0,1
27903802.0,1329099652.0,95,44,4,1,1,0,0,77,0,3,0,0,0,0,1
35030177.0,1374899687.0,2279,3583,0,2,0,0,0,120,2,4,3,0,0,0,1
62491502.0,1362066878.0,443,87,0,0,0,1,0,126,4,2,0,1,0,1,1
82128744.0,1325469480.0,198,652,9,4,0,0,0,252,2,6,5,0,0,0,1
100595853.0,1306783009.0,4443,1995,0,1,0,1,0,48,2,2,0,1,0,0,1
15658150.0,1324765786.0,12,-5,1,10,0,0,0,102,1,2,1,0,0,0,1
59118.0,1314432543.0,1,7,5,17,0,1,1,156,1,2,0,0,1,0,1
21265257.0,1295122280.0,8338,2011,2,6,1,1,0,62,1,2,0,2,0,2,1
20452040.0,1331631693.0,271,285,3,1,0,0,0,84,2,1,0,0,0,0,1
36290202.0,1309469957.0,643,678,3,3,0,0,0,48,3,3,0,0,1,0,1
67061230.0,1288635015.0,1213,770,9,4,0,0,0,29,1,1,0,1,0,0,1
78343249.0,1319767765.0,284,5687,1,4,0,1,0,93,3,1,0,0,0,0,1
14987258.0,1372913833.0,335,3089,6,7,0,1,0,55,1,0,0,0,1,0,1
37077956.0,1318372874.0,22,820,4,1,0,1,0,57,3,3,0,0,0,0,1
11596003.0,1313871578.0,625,5575,2,13,0,0,0,19,0,1,0,0,0,0,1
70148355.0,1333127342.0,21376,8766,21,6,1,0,0,165,2,5,0,0,1,1,1
35970532.0,1297279857.0,7116,109262,0,0,0,0,0,112,0,2,1,0,0,1,1
144284835.0,1235093666.0,185,1447,11,5,0,0,0,22,0,0,0,0,0,0,1
26398018.0,1328936635.0,703,30773,2,1,0,1,0,98,1,0,3,0,1,0,1
16631042.0,1332002894.0,83,142,0,2,0,0,0,57,0,1,0,0,0,0,1
20777428.0,1362863535.0,3001,1914,1,4,0,0,0,244,2,7,2,0,7,0,1
