ups,num_comments,image_provided,reciprocate,exchange,text_length,label
0,0,0,0,0,64,got_pizza
4,8,0,1,0,115,got_pizza
86,12,0,0,0,51,got_pizza
2,3,0,0,0,172,got_pizza
3,2,0,0,0,23,got_pizza
7,22,1,0,0,167,got_pizza
12,2,0,1,0,158,got_pizza
3,3,0,0,0,65,got_pizza
12,7,0,0,0,183,got_pizza
2,0,0,0,0,75,got_pizza
3,0,0,0,0,35,got_pizza
0,7,0,1,0,67,got_pizza
13,4,0,0,0,83,got_pizza
0,2,0,0,0,115,got_pizza
1,61,0,0,0,49,got_pizza
5,1,0,0,0,69,got_pizza
7,5,0,0,0,29,got_pizza
2,2,0,0,0,50,got_pizza
4,5,0,0,0,53,got_pizza
19,4,0,0,0,122,got_pizza
4,2,0,1,0,149,got_pizza
13,3,0,0,0,108,got_pizza
2,1,0,0,0,39,got_pizza
1,3,0,0,0,88,got_pizza
3,6,0,0,0,24,got_pizza
8,0,0,1,0,226,got_pizza
2,6,0,0,0,51,got_pizza
4,5,0,0,0,36,got_pizza
2,1,0,0,0,149,got_pizza
3,7,0,1,0,89,got_pizza
2,6,0,0,0,52,got_pizza
12,25,0,1,0,74,got_pizza
0,1,0,0,0,199,got_pizza
3,0,0,0,0,27,got_pizza
2,3,0,0,0,114,got_pizza
7,24,0,0,0,70,got_pizza
11,21,0,0,0,60,got_pizza
3,3,0,0,0,65,got_pizza
2,0,0,0,0,130,got_pizza
4,12,0,0,0,53,got_pizza
6,3,0,0,0,25,got_pizza
3,0,0,0,0,82,got_pizza
5,1,0,0,0,75,got_pizza
5,8,0,0,0,102,got_pizza
1,6,0,1,0,118,got_pizza
1,1,0,0,0,42,got_pizza
6,1,0,0,0,50,got_pizza
13,2,0,1,0,113,got_pizza
0,6,0,0,0,111,got_pizza
13,4,0,0,0,89,got_pizza
3,2,0,0,0,77,got_pizza
1,3,1,0,0,163,got_pizza
2,1,0,0,0,30,got_pizza
25,14,1,0,0,199,got_pizza
2,0,0,0,0,212,got_pizza
5,3,0,0,0,43,got_pizza
5,8,0,1,0,135,got_pizza
2,3,0,0,0,63,got_pizza
11,8,0,1,0,35,got_pizza
6,4,0,0,1,38,got_pizza
1,1,0,0,0,32,got_pizza
