ups,num_comments,image_provided,reciprocate,exchange,text_length,money,time,job,student,family,craving,label
24,2,0,0,0,35,1,3,0,0,0,0,got_pizza
19,7,0,0,0,100,0,4,0,0,0,0,got_pizza
3,2,0,0,0,112,6,1,1,0,0,0,got_pizza
19,5,0,0,0,78,2,5,2,0,0,0,got_pizza
16,3,0,0,0,37,0,0,2,0,0,0,got_pizza
0,2,0,0,0,68,0,2,0,1,0,0,got_pizza
4,6,0,0,0,147,1,2,1,1,0,0,got_pizza
1,3,0,0,0,163,0,5,0,0,0,0,got_pizza
12,4,1,0,0,91,1,4,0,2,0,0,got_pizza
3,21,0,1,0,140,1,2,0,0,2,0,got_pizza
5,3,0,0,0,59,1,2,0,1,0,0,got_pizza
3,12,0,1,0,135,6,1,0,0,0,0,got_pizza
7,3,0,1,0,66,2,3,0,0,3,0,got_pizza
6,4,1,0,1,201,0,3,1,0,0,0,got_pizza
7,5,0,0,0,127,0,4,0,0,0,0,got_pizza
2,0,0,0,0,39,0,1,0,0,1,0,got_pizza
11,29,0,0,0,198,3,2,1,0,5,2,got_pizza
30,18,0,0,0,85,1,4,0,0,2,0,got_pizza
4,0,0,0,0,103,0,2,0,0,0,0,got_pizza
2,3,0,0,0,24,2,0,0,0,0,0,got_pizza
3,6,0,1,0,33,0,1,0,0,0,0,got_pizza
3,5,0,0,0,189,2,5,0,0,0,0,got_pizza
6,12,0,0,0,35,1,1,0,0,1,2,got_pizza
2,0,1,0,0,53,0,1,0,0,0,0,got_pizza
0,10,0,0,0,70,0,3,1,0,0,0,got_pizza
1,3,0,0,0,100,2,1,0,2,0,1,got_pizza
9,6,0,1,0,187,5,7,0,0,0,0,got_pizza
5,23,0,0,0,184,0,3,1,0,0,0,got_pizza
1,0,0,1,0,84,3,2,0,0,0,0,got_pizza
91,20,0,0,0,117,0,4,0,1,2,0,got_pizza
2,3,1,0,0,57,0,0,0,0,0,0,got_pizza
3,7,0,0,0,120,3,4,3,0,0,0,got_pizza
5,8,0,0,0,95,0,1,0,1,1,0,got_pizza
2,1,0,1,0,152,6,1,1,1,1,0,got_pizza
