account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,money,time,job,student,family,craving,label
4144435.0,1354053808.0,2527,797,0,0,0,0,0,21,0,2,0,2,0,0,no_pizza
54488419.0,1347235736.0,21,38,6,0,0,1,0,91,2,2,3,0,0,1,no_pizza
45187865.0,1373150050.0,58,1390,0,4,0,0,0,79,4,1,3,0,0,0,no_pizza
3454835.0,1344544286.0,1,15,0,0,0,0,0,54,0,2,0,0,1,0,no_pizza
19978.0,1316530433.0,1,12,6,0,0,0,0,86,4,4,0,0,0,0,no_pizza
5965058.0,1347590649.0,319,369,0,0,0,0,0,91,1,2,0,0,0,0,no_pizza
492586.0,1309156080.0,469,88846,5,4,0,0,0,154,1,2,1,0,1,1,no_pizza
37144389.0,1296000236.0,1813,3893,0,0,0,0,0,55,0,2,0,0,0,0,no_pizza
26660654.0,1351477713.0,15,4211,5,0,0,0,0,23,0,0,0,0,0,0,no_pizza
100327037.0,1322684149.0,1199,705,0,0,0,0,0,112,4,2,2,3,0,0,no_pizza
21558552.0,1358305986.0,2139,3707,1,1,0,0,0,38,1,0,0,0,1,1,no_pizza
51567430.0,1283790043.0,1,0,2,1,0,0,0,100,0,0,0,0,0,0,no_pizza
29355939.0,1294200945.0,3247,16296,2,2,1,1,0,59,4,0,0,7,0,3,no_pizza
41204060.0,1382841800.0,2385,1553,1,0,0,0,0,84,0,0,0,0,2,0,no_pizza
64695160.0,1308180360.0,1,253,2,2,0,0,0,58,1,0,0,0,0,0,no_pizza
5805768.0,1333977420.0,1,0,0,4,0,0,0,92,0,1,0,0,0,0,no_pizza
7267567.0,1351737769.0,28,956,0,0,0,0,0,49,2,3,0,0,0,0,no_pizza
35608209.0,1355706301.0,3258,1577,12,1,0,0,0,58,3,0,0,0,1,0,no_pizza
7007239.0,1415714517.0,1,1643,0,0,0,0,0,51,0,1,0,1,0,0,no_pizza
41470576.0,1322149582.0,3273,6378,7,4,0,0,0,68,0,0,0,0,0,0,no_pizza
323.0,1314127496.0,1,1,0,0,0,0,0,36,1,0,0,0,0,1,no_pizza
98317800.0,1254714827.0,223,782,8,2,0,0,0,21,0,0,0,0,0,0,no_pizza
13937834.0,1328349778.0,443,1855,0,1,0,0,0,49,0,1,0,1,0,0,no_pizza
38438196.0,1311812325.0,1,0,0,1,0,0,0,99,0,1,1,0,0,0,no_pizza
149.0,1352224229.0,1,-3,0,4,0,0,1,50,0,3,0,0,2,1,no_pizza
44037307.0,1352339292.0,4440,589,23,0,0,0,0,147,0,8,0,0,3,2,no_pizza
9547718.0,1377062229.0,1,231,2,4,1,0,0,79,1,2,1,0,0,2,no_pizza
49047641.0,1315261785.0,357,4632,0,0,0,0,0,42,1,1,1,0,0,0,no_pizza
211361387.0,1162664370.0,6064,6372,5,2,0,0,0,59,0,3,0,6,0,0,no_pizza
83388939.0,1334671709.0,1377,8743,2,0,0,0,0,13,0,0,0,0,0,0,no_pizza
105413004.0,1310924179.0,260,3969,4,0,0,0,0,72,3,3,0,0,0,0,no_pizza
58398885.0,1320980622.0,1324,2659,1,0,0,0,0,71,0,1,3,0,1,0,no_pizza
35342994.0,1338117665.0,1245,3793,5,1,0,0,0,147,4,3,4,1,4,0,no_pizza
102901811.0,1304626482.0,70,162,6,0,0,0,0,114,1,4,0,0,1,2,no_pizza
1174966.0,1343373704.0,8494,5622,5,3,1,0,0,57,2,0,1,0,0,1,no_pizza
197.0,1354998116.0,1,-3,0,8,0,0,0,74,0,3,1,2,0,0,no_pizza
574.0,1337401264.0,1,0,1,1,0,0,0,43,4,0,0,2,0,0,no_pizza
14292332.0,1304274352.0,1161,6431,1,0,0,0,0,132,1,5,1,6,0,0,no_pizza
8228124.0,1372008269.0,4318,14476,0,0,0,0,0,79,0,2,0,0,0,0,no_pizza
48102578.0,1341783756.0,41,110,3,0,0,0,0,33,0,0,0,0,0,0,no_pizza
