ups,num_comments,image_provided,reciprocate,exchange,text_length,label
3,4,0,0,0,36,no_pizza
2,1,0,0,0,71,no_pizza
3,0,0,0,1,84,no_pizza
0,0,0,0,0,65,no_pizza
1,0,0,0,1,62,no_pizza
3,0,0,0,0,61,no_pizza
2,0,1,0,0,284,no_pizza
2,0,0,0,0,259,no_pizza
4,0,0,0,0,84,no_pizza
0,3,0,0,0,13,no_pizza
2,0,0,1,0,40,no_pizza
2,0,0,0,0,1289,no_pizza
1,22,0,0,0,40,no_pizza
6,5,0,1,0,249,no_pizza
8,0,0,0,0,83,no_pizza
0,0,0,0,0,27,no_pizza
13,6,0,0,0,71,no_pizza
1,0,0,0,0,114,no_pizza
12,0,0,1,0,54,no_pizza
41,25,0,0,0,214,no_pizza
4,0,0,0,0,36,no_pizza
1,1,0,0,0,25,no_pizza
1,4,0,0,0,208,no_pizza
2,0,0,0,0,71,no_pizza
0,0,0,0,0,50,no_pizza
0,0,0,1,1,185,no_pizza
4,2,0,0,0,473,no_pizza
4,1,0,0,0,102,no_pizza
1,0,0,0,0,115,no_pizza
0,1,0,0,0,105,no_pizza
10,0,0,0,0,76,no_pizza
1,1,0,0,0,94,no_pizza
1,0,0,0,0,70,no_pizza
0,0,0,0,1,117,no_pizza
1,0,0,1,0,133,no_pizza
1,1,0,0,0,38,no_pizza
2,3,0,0,0,72,no_pizza
2,0,0,0,0,16,no_pizza
0,0,0,0,0,66,no_pizza
5,0,0,0,0,104,no_pizza
0,0,0,0,0,86,no_pizza
6,2,0,0,0,158,no_pizza
5,0,0,0,0,50,no_pizza
1,0,0,0,0,100,no_pizza
2,0,0,1,0,109,no_pizza
0,2,0,0,0,62,no_pizza
1,0,0,0,0,56,no_pizza
2,0,0,0,0,61,no_pizza
9,4,0,1,0,155,no_pizza
2,0,0,0,0,37,no_pizza
2,1,0,0,0,54,no_pizza
1,1,0,1,0,133,no_pizza
1,0,0,0,0,157,no_pizza
0,0,0,0,0,34,no_pizza
9,7,0,0,0,13,no_pizza
3,1,0,1,0,58,no_pizza
0,0,0,0,0,68,no_pizza
1,2,0,0,0,69,no_pizza
0,0,0,0,0,77,no_pizza
4,1,0,1,0,37,no_pizza
0,0,0,0,0,45,no_pizza
2,1,0,0,0,61,no_pizza
0,3,0,0,0,27,no_pizza
1,0,1,0,0,115,no_pizza
2,0,0,0,0,80,no_pizza
2,4,0,1,0,103,no_pizza
1,0,0,0,0,63,no_pizza
6,0,0,0,0,97,no_pizza
6,8,0,0,0,66,no_pizza
1,1,0,0,0,19,no_pizza
4,0,0,1,0,77,no_pizza
1,0,0,0,0,119,no_pizza
2,0,0,0,0,117,no_pizza
3,6,0,1,1,82,no_pizza
1,4,0,0,0,25,no_pizza
1,2,0,1,0,123,no_pizza
2,6,0,0,0,83,no_pizza
2,1,0,0,0,63,no_pizza
1,5,0,0,0,103,no_pizza
0,0,0,0,0,18,no_pizza
2,1,0,0,0,37,no_pizza
7,4,0,0,0,44,no_pizza
2,0,1,0,0,38,no_pizza
0,0,0,0,0,17,no_pizza
5,4,0,0,0,96,no_pizza
1,5,0,0,0,70,no_pizza
3,1,0,0,0,54,no_pizza
7,11,0,0,0,102,no_pizza
1,0,0,0,0,77,no_pizza
5,2,0,0,0,79,no_pizza
2,0,0,0,0,41,no_pizza
5,3,0,0,0,85,no_pizza
1,1,0,0,0,80,no_pizza
3,2,0,0,0,43,no_pizza
1,0,0,0,0,63,no_pizza
4,1,0,1,0,96,no_pizza
1,2,0,0,0,34,no_pizza
3,2,0,0,0,34,no_pizza
0,5,0,0,0,66,no_pizza
6,7,0,0,0,90,no_pizza
1,1,0,0,0,24,no_pizza
1,1,0,0,0,11,no_pizza
3,8,0,0,1,144,no_pizza
1,0,0,0,0,44,no_pizza
4,1,0,0,1,52,no_pizza
3,1,0,0,0,45,no_pizza
7,9,0,0,0,246,no_pizza
6,4,0,0,0,72,no_pizza
1,0,0,0,0,53,no_pizza
2,4,0,0,0,41,no_pizza
1,0,0,0,0,67,no_pizza
4,4,0,0,0,59,no_pizza
1,0,0,0,0,25,no_pizza
1,1,0,0,0,24,no_pizza
6,0,0,0,0,25,no_pizza
2,0,0,0,0,47,no_pizza
0,0,0,0,0,145,no_pizza
1,1,0,0,0,90,no_pizza
9,6,0,0,0,143,no_pizza
0,0,0,0,1,67,no_pizza
0,4,0,0,0,55,no_pizza
3,2,0,0,0,71,no_pizza
3,0,0,0,0,53,no_pizza
0,0,0,0,0,107,no_pizza
34,3,0,0,0,53,no_pizza
1,0,0,0,0,25,no_pizza
6,0,0,1,0,128,no_pizza
0,3,0,1,0,31,no_pizza
3,0,0,0,0,122,no_pizza
2,0,0,1,0,100,no_pizza
7,1,0,0,0,91,no_pizza
0,0,0,0,0,62,no_pizza
1,0,0,0,0,151,no_pizza
0,0,0,0,0,96,no_pizza
0,3,0,0,0,25,no_pizza
1,1,0,0,0,33,no_pizza
4,3,0,0,0,150,no_pizza
1,0,0,0,0,37,no_pizza
3,0,0,0,0,101,no_pizza
5,2,0,0,0,103,no_pizza
3,1,0,0,0,80,no_pizza
1,0,0,0,0,61,no_pizza
1,0,0,0,0,151,no_pizza
8,1,0,0,0,84,no_pizza
5,0,0,0,0,19,no_pizza
3,0,0,1,0,103,no_pizza
1,1,0,0,0,72,no_pizza
5,3,0,0,0,52,no_pizza
0,0,0,0,0,163,no_pizza
8,1,0,0,1,13,no_pizza
5,1,0,0,0,18,no_pizza
0,3,0,0,0,61,no_pizza
5,1,0,0,0,11,no_pizza
2,1,0,0,0,165,no_pizza
1,1,0,0,0,131,no_pizza
3,4,0,0,0,36,no_pizza
2,4,0,0,0,20,no_pizza
3,0,0,0,0,187,no_pizza
1,0,0,0,0,21,no_pizza
3,0,0,0,0,58,no_pizza
1,1,0,0,0,128,no_pizza
2,0,0,0,0,18,no_pizza
7,5,0,0,0,85,no_pizza
3,1,0,0,0,12,no_pizza
2,6,0,0,0,105,no_pizza
1,4,0,1,0,44,no_pizza
8,1,0,0,0,34,no_pizza
3,3,0,0,0,41,no_pizza
26,4,0,0,0,105,no_pizza
2,0,0,0,0,23,no_pizza
0,2,0,0,0,43,no_pizza
0,3,0,0,0,140,no_pizza
3,1,0,0,0,73,no_pizza
2,0,0,0,0,36,no_pizza
4,2,0,0,0,73,no_pizza
0,0,0,0,0,37,no_pizza
6,0,0,0,0,48,no_pizza
1,1,0,0,0,21,no_pizza
2,2,0,0,0,66,no_pizza
2,1,0,1,0,70,no_pizza
4,4,0,0,0,69,no_pizza
1,1,0,0,1,101,no_pizza
1,1,0,0,0,54,no_pizza
2,2,0,0,0,151,no_pizza
3,2,0,1,0,277,no_pizza
4,2,0,1,0,27,no_pizza
1,1,0,0,0,78,no_pizza
5,5,1,0,0,81,no_pizza
2,1,0,1,0,83,no_pizza
3,9,1,0,0,55,no_pizza
0,0,0,0,0,83,no_pizza
0,1,0,0,0,66,no_pizza
0,0,0,1,0,124,no_pizza
5,2,0,0,0,217,no_pizza
1,3,0,0,0,51,no_pizza
1,0,0,0,0,40,no_pizza
1,0,0,0,0,27,no_pizza
2,0,0,0,0,64,no_pizza
6,2,0,1,0,120,no_pizza
10,11,0,1,0,129,no_pizza
0,0,0,0,0,36,no_pizza
1,7,0,1,0,29,no_pizza
3,0,0,0,0,78,no_pizza
15,9,1,0,0,302,no_pizza
8,3,0,0,0,62,no_pizza
3,0,0,0,0,42,no_pizza
0,6,0,0,0,79,no_pizza
0,7,0,0,0,54,no_pizza
2,0,0,0,0,54,no_pizza
2,0,0,1,0,250,no_pizza
4,11,0,0,0,89,no_pizza
2,0,0,0,0,98,no_pizza
1,1,0,0,0,114,no_pizza
1,1,0,0,0,285,no_pizza
5,0,0,0,0,19,no_pizza
4,10,0,0,0,37,no_pizza
5,2,0,1,0,109,no_pizza
1,0,0,0,0,35,no_pizza
0,0,0,0,0,20,no_pizza
0,2,0,0,0,66,no_pizza
4,0,0,0,0,40,no_pizza
1,0,0,0,0,42,no_pizza
1,0,0,0,0,47,no_pizza
16,3,0,0,0,34,no_pizza
7,0,0,0,0,94,no_pizza
5,0,0,0,0,120,no_pizza
1,0,0,0,0,41,no_pizza
2,0,0,0,0,185,no_pizza
2,1,0,0,0,169,no_pizza
