ups,num_comments,image_provided,reciprocate,exchange,text_length,label
3,4,0,0,0,36,0
2,1,0,0,0,71,0
3,0,0,0,1,84,0
0,0,0,0,0,65,0
1,0,0,0,1,62,0
3,0,0,0,0,61,0
2,0,1,0,0,284,0
2,0,0,0,0,259,0
4,0,0,0,0,84,0
0,3,0,0,0,13,0
2,0,0,1,0,40,0
2,0,0,0,0,1289,0
1,22,0,0,0,40,0
6,5,0,1,0,249,0
8,0,0,0,0,83,0
0,0,0,0,0,27,0
13,6,0,0,0,71,0
1,0,0,0,0,114,0
12,0,0,1,0,54,0
41,25,0,0,0,214,0
4,0,0,0,0,36,0
1,1,0,0,0,25,0
1,4,0,0,0,208,0
2,0,0,0,0,71,0
0,0,0,0,0,50,0
0,0,0,1,1,185,0
4,2,0,0,0,473,0
4,1,0,0,0,102,0
1,0,0,0,0,115,0
0,1,0,0,0,105,0
10,0,0,0,0,76,0
1,1,0,0,0,94,0
1,0,0,0,0,70,0
0,0,0,0,1,117,0
1,0,0,1,0,133,0
1,1,0,0,0,38,0
2,3,0,0,0,72,0
2,0,0,0,0,16,0
0,0,0,0,0,66,0
5,0,0,0,0,104,0
0,0,0,0,0,86,0
6,2,0,0,0,158,0
5,0,0,0,0,50,0
1,0,0,0,0,100,0
2,0,0,1,0,109,0
0,2,0,0,0,62,0
1,0,0,0,0,56,0
2,0,0,0,0,61,0
9,4,0,1,0,155,0
2,0,0,0,0,37,0
2,1,0,0,0,54,0
1,1,0,1,0,133,0
1,0,0,0,0,157,0
0,0,0,0,0,34,0
9,7,0,0,0,13,0
3,1,0,1,0,58,0
0,0,0,0,0,68,0
1,2,0,0,0,69,0
0,0,0,0,0,77,0
4,1,0,1,0,37,0
0,0,0,0,0,45,0
2,1,0,0,0,61,0
0,3,0,0,0,27,0
1,0,1,0,0,115,0
2,0,0,0,0,80,0
2,4,0,1,0,103,0
1,0,0,0,0,63,0
6,0,0,0,0,97,0
6,8,0,0,0,66,0
1,1,0,0,0,19,0
4,0,0,1,0,77,0
1,0,0,0,0,119,0
2,0,0,0,0,117,0
3,6,0,1,1,82,0
1,4,0,0,0,25,0
1,2,0,1,0,123,0
2,6,0,0,0,83,0
2,1,0,0,0,63,0
1,5,0,0,0,103,0
0,0,0,0,0,18,0
2,1,0,0,0,37,0
7,4,0,0,0,44,0
2,0,1,0,0,38,0
0,0,0,0,0,17,0
5,4,0,0,0,96,0
1,5,0,0,0,70,0
3,1,0,0,0,54,0
7,11,0,0,0,102,0
1,0,0,0,0,77,0
5,2,0,0,0,79,0
2,0,0,0,0,41,0
5,3,0,0,0,85,0
1,1,0,0,0,80,0
3,2,0,0,0,43,0
1,0,0,0,0,63,0
4,1,0,1,0,96,0
1,2,0,0,0,34,0
3,2,0,0,0,34,0
0,5,0,0,0,66,0
6,7,0,0,0,90,0
1,1,0,0,0,24,0
1,1,0,0,0,11,0
3,8,0,0,1,144,0
1,0,0,0,0,44,0
4,1,0,0,1,52,0
3,1,0,0,0,45,0
7,9,0,0,0,246,0
6,4,0,0,0,72,0
1,0,0,0,0,53,0
2,4,0,0,0,41,0
1,0,0,0,0,67,0
4,4,0,0,0,59,0
1,0,0,0,0,25,0
1,1,0,0,0,24,0
6,0,0,0,0,25,0
2,0,0,0,0,47,0
0,0,0,0,0,145,0
1,1,0,0,0,90,0
9,6,0,0,0,143,0
0,0,0,0,1,67,0
0,4,0,0,0,55,0
3,2,0,0,0,71,0
3,0,0,0,0,53,0
0,0,0,0,0,107,0
34,3,0,0,0,53,0
1,0,0,0,0,25,0
6,0,0,1,0,128,0
0,3,0,1,0,31,0
3,0,0,0,0,122,0
2,0,0,1,0,100,0
7,1,0,0,0,91,0
0,0,0,0,0,62,0
1,0,0,0,0,151,0
0,0,0,0,0,96,0
0,3,0,0,0,25,0
1,1,0,0,0,33,0
4,3,0,0,0,150,0
1,0,0,0,0,37,0
3,0,0,0,0,101,0
5,2,0,0,0,103,0
3,1,0,0,0,80,0
1,0,0,0,0,61,0
1,0,0,0,0,151,0
8,1,0,0,0,84,0
5,0,0,0,0,19,0
3,0,0,1,0,103,0
1,1,0,0,0,72,0
5,3,0,0,0,52,0
0,0,0,0,0,163,0
8,1,0,0,1,13,0
5,1,0,0,0,18,0
0,3,0,0,0,61,0
5,1,0,0,0,11,0
2,1,0,0,0,165,0
1,1,0,0,0,131,0
3,4,0,0,0,36,0
2,4,0,0,0,20,0
3,0,0,0,0,187,0
1,0,0,0,0,21,0
3,0,0,0,0,58,0
1,1,0,0,0,128,0
2,0,0,0,0,18,0
7,5,0,0,0,85,0
3,1,0,0,0,12,0
2,6,0,0,0,105,0
1,4,0,1,0,44,0
8,1,0,0,0,34,0
3,3,0,0,0,41,0
26,4,0,0,0,105,0
2,0,0,0,0,23,0
0,2,0,0,0,43,0
0,3,0,0,0,140,0
3,1,0,0,0,73,0
2,0,0,0,0,36,0
4,2,0,0,0,73,0
0,0,0,0,0,37,0
6,0,0,0,0,48,0
1,1,0,0,0,21,0
2,2,0,0,0,66,0
2,1,0,1,0,70,0
4,4,0,0,0,69,0
1,1,0,0,1,101,0
1,1,0,0,0,54,0
2,2,0,0,0,151,0
3,2,0,1,0,277,0
4,2,0,1,0,27,0
1,1,0,0,0,78,0
5,5,1,0,0,81,0
2,1,0,1,0,83,0
3,9,1,0,0,55,0
0,0,0,0,0,83,0
0,1,0,0,0,66,0
0,0,0,1,0,124,0
5,2,0,0,0,217,0
1,3,0,0,0,51,0
1,0,0,0,0,40,0
1,0,0,0,0,27,0
2,0,0,0,0,64,0
6,2,0,1,0,120,0
10,11,0,1,0,129,0
0,0,0,0,0,36,0
1,7,0,1,0,29,0
3,0,0,0,0,78,0
15,9,1,0,0,302,0
8,3,0,0,0,62,0
3,0,0,0,0,42,0
0,6,0,0,0,79,0
0,7,0,0,0,54,0
2,0,0,0,0,54,0
2,0,0,1,0,250,0
4,11,0,0,0,89,0
2,0,0,0,0,98,0
1,1,0,0,0,114,0
1,1,0,0,0,285,0
5,0,0,0,0,19,0
4,10,0,0,0,37,0
5,2,0,1,0,109,0
1,0,0,0,0,35,0
0,0,0,0,0,20,0
0,2,0,0,0,66,0
4,0,0,0,0,40,0
1,0,0,0,0,42,0
1,0,0,0,0,47,0
16,3,0,0,0,34,0
7,0,0,0,0,94,0
5,0,0,0,0,120,0
1,0,0,0,0,41,0
2,0,0,0,0,185,0
2,1,0,0,0,169,0
1,0,0,0,0,21,0
6,0,0,0,0,22,0
0,0,0,0,0,76,0
2,0,0,0,0,46,0
13,0,0,0,1,185,0
2,0,0,0,0,108,0
1,0,0,0,0,57,0
0,0,0,0,0,81,0
6,0,0,0,0,62,0
5,1,0,1,0,138,0
3,0,0,0,0,44,0
9,1,0,1,0,61,0
1,36,0,1,0,57,0
2,0,0,0,1,56,0
9,6,0,0,0,85,0
0,2,0,0,0,99,0
0,0,0,1,0,54,0
12,3,0,0,0,62,0
1,1,0,0,0,27,0
0,0,0,0,0,18,0
2,3,0,0,0,93,0
