ups,num_comments,image_provided,reciprocate,exchange,text_length,money,time,job,student,family,craving,label
0,0,0,1,0,54,3,2,0,0,0,0,0
2,0,0,0,0,76,0,1,0,1,2,2,0
1,2,0,0,0,505,15,15,1,0,0,4,0
13,0,0,1,0,118,1,4,0,0,2,1,0
17,3,0,0,0,30,1,3,0,0,0,0,0
0,9,0,0,0,132,2,4,0,3,1,0,0
2,0,0,0,0,179,2,1,0,0,2,0,0
1,1,0,1,0,79,2,3,0,0,0,2,0
3,0,0,0,0,73,0,3,0,2,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0
0,2,0,1,0,89,2,1,0,0,1,0,0
1,2,0,1,0,160,6,3,1,1,0,0,0
1,0,0,0,0,77,1,4,0,3,0,1,0
1,0,0,0,0,48,0,1,0,0,2,0,0
2,1,0,0,0,14,0,0,0,0,0,1,0
8,0,0,0,0,44,0,1,0,1,1,0,0
0,0,0,0,0,14,0,0,0,0,0,0,0
3,5,0,0,0,48,1,2,3,0,0,0,0
2,1,0,0,0,113,2,1,0,0,0,0,0
13,6,0,0,0,101,0,2,0,0,0,0,0
1,2,0,0,0,35,1,1,2,0,0,0,0
24,10,0,0,0,61,0,2,1,0,0,0,0
0,0,0,0,0,50,0,0,0,0,0,0,0
4,1,0,0,0,86,1,1,1,1,0,0,0
2,0,0,0,0,44,1,1,0,0,0,0,0
1,0,0,0,0,95,0,2,4,1,0,3,0
2,3,0,0,0,43,0,1,3,0,0,0,0
2,0,0,0,0,53,2,1,0,0,0,0,0
0,0,0,0,0,61,0,3,0,0,0,1,0
3,1,0,0,0,78,0,4,1,1,0,0,0
4,3,0,0,0,79,0,2,0,0,0,0,0
7,1,0,0,0,74,1,2,0,0,0,0,0
5,2,0,0,0,104,3,0,0,0,2,0,0
2,0,0,0,0,49,0,3,3,0,0,0,0
2,0,0,0,0,41,3,1,0,5,0,0,0
0,0,0,0,0,61,0,3,1,1,0,0,0
3,0,0,0,0,30,1,0,0,0,0,0,0
9,0,0,0,0,120,0,2,0,2,0,0,0
0,0,0,0,0,86,0,1,0,0,0,1,0
6,7,0,0,0,21,0,0,0,1,0,0,0
1,7,0,1,0,29,4,1,1,0,0,0,0
0,0,0,1,0,51,4,0,0,0,0,0,0
0,1,0,0,0,62,0,3,1,0,0,1,0
1,4,0,0,0,71,0,0,0,0,1,0,0
2,2,0,0,0,29,2,0,0,0,0,0,0
12,3,0,0,0,33,0,1,0,0,0,1,0
1,0,0,0,0,40,1,1,0,0,0,0,0
1,0,0,1,0,46,2,3,0,0,0,0,0
2,0,0,0,0,41,0,1,1,0,0,0,0
7,7,1,0,0,53,0,2,0,0,2,0,0
1,0,0,0,0,148,1,3,1,1,0,1,0
0,0,0,0,0,92,0,4,0,1,0,0,0
0,4,0,0,0,102,0,0,1,0,0,0,0
3,1,0,0,0,49,0,0,0,0,0,0,0
1,0,0,0,0,75,4,5,1,2,0,0,0
2,0,1,0,0,100,4,2,2,0,0,0,0
1,0,0,0,0,8,0,0,0,2,0,0,0
0,0,0,0,0,76,1,0,3,0,0,0,0
1,0,0,0,1,48,1,0,0,0,0,0,0
4,5,0,0,0,95,4,3,1,1,0,0,0
2,0,0,0,0,79,0,1,0,0,0,0,0
1,1,0,0,0,148,2,2,3,0,2,0,0
0,44,0,0,0,55,0,2,0,0,0,1,0
1,0,0,0,0,38,1,2,1,1,0,0,0
5,1,0,0,0,60,1,0,0,1,0,0,0
2,4,0,0,0,115,0,5,2,0,3,0,0
10,4,0,1,0,130,3,3,5,0,0,0,0
2,1,0,1,0,180,3,8,2,0,0,0,0
1,0,0,0,0,31,1,0,0,0,0,0,0
0,0,0,0,1,108,1,6,1,0,0,2,0
1,0,0,1,0,66,2,4,0,0,0,1,0
4,8,0,0,0,66,0,3,0,1,0,0,0
0,0,0,0,0,85,3,1,0,0,0,1,0
8,3,0,0,0,280,3,4,3,0,0,0,0
1,6,0,1,0,97,1,4,0,0,2,0,0
0,1,0,1,0,137,7,7,2,1,0,0,0
4,2,1,0,0,23,0,1,0,0,0,0,0
2,0,0,0,0,28,0,0,0,0,0,0,0
1,0,0,0,0,118,2,3,2,4,0,0,0
2,0,0,0,0,77,0,0,0,0,0,0,0
3,0,0,0,0,85,0,6,3,0,0,0,0
6,1,0,0,0,84,1,1,0,2,1,0,0
9,2,0,0,0,125,2,4,2,1,0,0,0
2,0,0,0,0,51,0,0,0,0,0,0,0
3,7,0,0,0,53,0,0,0,0,0,0,0
12,2,0,0,0,71,1,3,1,0,0,1,0
2,0,0,0,0,57,0,3,0,0,0,3,0
12,2,0,0,0,52,1,2,1,0,0,0,0
1,0,0,1,0,47,2,2,0,0,2,0,0
1,3,0,0,0,30,0,0,0,0,1,0,0
2,0,0,0,0,34,0,0,0,1,0,0,0
2,0,0,0,0,13,0,0,0,0,0,0,0
1,0,0,0,0,15,0,1,0,0,0,0,0
1,0,0,0,0,165,6,5,2,2,1,1,0
7,0,0,0,0,138,6,4,0,4,1,1,0
0,0,0,0,0,45,0,0,0,0,0,1,0
0,0,0,0,0,65,2,1,0,0,0,1,0
7,0,0,0,0,31,1,1,0,0,0,0,0
1,3,0,0,0,177,5,6,0,0,2,2,0
1,0,0,0,0,43,1,0,2,0,0,0,0
3,2,0,1,0,74,2,1,2,0,0,1,0
0,0,0,0,0,45,3,1,1,0,0,0,0
4,0,0,1,0,128,4,3,0,0,5,0,0
32,46,0,0,0,16,0,0,0,0,1,0,0
7,6,1,1,0,88,3,3,4,0,0,1,0
2,1,0,0,0,59,1,1,0,0,0,0,0
1,0,0,0,1,75,3,0,0,2,0,1,0
0,0,0,0,0,51,0,4,0,0,0,0,0
2,1,1,0,0,312,1,6,3,0,2,3,0
3,0,0,0,0,18,0,1,0,0,0,0,0
0,6,0,0,0,35,0,0,0,0,0,0,0
9,2,0,0,0,48,0,0,0,0,0,0,0
5,3,0,0,1,92,0,1,0,1,0,2,0
1,0,0,1,0,51,4,4,0,0,0,0,0
0,0,0,0,0,45,0,0,0,0,0,1,0
4,1,0,0,0,50,1,2,0,0,0,0,0
1,1,0,1,0,80,3,3,0,0,0,0,0
2,0,0,0,0,38,0,1,0,0,0,0,0
1,0,0,0,0,45,2,3,0,0,0,0,0
2,0,0,0,0,34,0,0,0,0,0,0,0
2,0,0,0,0,26,0,0,0,3,0,0,0
3,2,0,1,0,61,0,0,1,4,0,0,0
0,2,0,0,0,145,2,5,4,0,0,0,0
7,2,1,0,0,166,5,7,2,0,0,0,0
2,0,0,0,0,61,0,0,0,2,0,0,0
2,4,0,0,0,66,4,2,0,1,0,0,0
4,2,0,1,0,54,2,2,0,0,0,0,0
1,0,0,1,0,72,1,3,0,0,0,0,0
1,1,0,0,0,49,0,3,0,0,0,2,0
2,1,0,0,0,45,1,1,0,0,0,0,0
2,0,0,0,0,147,4,5,1,0,0,0,0
4,1,0,0,0,141,0,2,0,0,4,2,0
0,0,0,0,0,337,0,3,2,1,3,0,0
0,0,0,0,0,73,2,2,2,0,0,0,0
13,2,0,0,0,89,2,5,0,3,0,1,0
11,2,0,0,0,47,0,4,0,0,0,0,0
3,1,0,1,0,53,2,3,2,0,0,0,0
0,2,1,0,0,96,2,1,2,0,0,0,0
1,2,0,0,0,3,0,0,0,0,0,0,0
0,0,0,1,0,40,2,1,0,0,0,0,0
0,2,0,0,0,68,3,2,0,4,0,0,0
0,0,0,0,0,102,0,1,0,3,1,0,0
3,2,0,0,0,34,1,0,0,0,1,0,0
2,5,0,0,0,145,3,3,0,0,0,3,0
5,4,1,0,0,253,4,5,2,0,0,1,0
1,4,0,0,0,43,0,0,0,0,0,0,0
1,0,0,0,0,74,0,7,0,0,2,2,0
2,1,1,0,1,149,7,1,2,2,0,0,0
1,0,0,0,0,84,4,3,0,1,0,1,0
3,0,0,0,0,74,1,1,0,2,1,1,0
2,4,0,0,0,440,10,10,7,0,0,0,0
1,3,0,0,0,50,2,0,0,3,1,0,0
0,0,0,0,0,60,1,3,0,2,0,1,0
24,14,0,0,0,114,4,7,0,0,0,0,0
0,0,0,0,0,70,0,2,0,0,3,1,0
2,0,0,0,0,12,1,1,0,0,0,0,0
26,2,0,1,0,104,1,4,0,0,0,1,0
2,6,0,0,0,172,2,5,2,0,1,0,0
4,2,0,0,0,43,0,0,0,0,1,0,0
1,0,0,0,0,13,0,0,0,0,0,0,0
2,3,0,0,0,79,1,3,0,0,3,0,0
2,0,0,0,0,83,2,5,0,3,1,0,0
9,0,0,0,0,289,4,6,1,5,4,0,0
1,4,0,0,0,123,1,4,0,0,2,0,0
1,0,0,0,0,11,2,1,0,1,0,0,0
1,0,0,0,0,92,3,2,0,1,0,0,0
1,0,0,0,0,123,2,3,1,3,0,0,0
5,4,0,1,1,295,13,2,1,0,0,1,0
1,3,0,0,0,54,0,0,0,0,0,0,0
8,7,0,0,0,66,2,2,3,0,0,0,0
2,0,0,1,0,87,1,0,1,1,0,2,0
5,1,0,1,0,48,1,3,0,1,1,0,0
17,1,0,0,0,27,3,0,0,2,0,0,0
2,1,0,0,0,37,0,0,0,3,0,0,0
5,2,0,0,0,39,0,1,0,0,0,0,0
2,1,0,0,0,46,1,0,0,2,0,1,0
0,0,0,0,0,14,0,0,0,0,0,0,0
1,0,0,0,0,66,2,2,1,0,0,0,0
5,1,0,0,0,53,4,0,0,1,0,2,0
1,0,0,1,0,66,5,3,0,0,1,0,0
1,0,0,1,0,69,1,1,0,0,0,0,0
2,2,0,0,0,75,0,2,1,0,0,0,0
1,0,0,0,0,110,1,3,2,1,0,0,0
1,0,0,0,0,72,3,2,0,0,0,0,0
4,5,0,0,0,111,0,3,0,0,0,5,0
3,1,0,0,0,158,1,4,2,0,0,0,0
