account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,label
67710055.0,1312447586.0,86,48,5,1,0,0,0,96,no_pizza
111484503.0,1283814666.0,7567,51689,17,2,0,0,0,49,no_pizza
3128657.0,1366090381.0,225,245,0,5,0,0,0,51,no_pizza
68071362.0,1318314149.0,1389,4770,6,2,0,1,0,70,no_pizza
42830476.0,1344656940.0,445,2018,3,1,0,0,1,154,no_pizza
54769576.0,1327370531.0,17,148,6,0,1,0,0,57,no_pizza
23217201.0,1287563740.0,324,2545,3,1,0,1,0,164,no_pizza
37554472.0,1301140644.0,711,1420,21,6,0,1,0,73,no_pizza
3032357.0,1364439720.0,478,2004,4,7,0,0,0,48,no_pizza
58475155.0,1251683138.0,2781,13423,34,7,0,0,0,99,no_pizza
8520873.0,1308914030.0,497,1261,2,0,0,0,0,90,no_pizza
76402864.0,1298153245.0,20356,9628,1,4,0,0,0,151,no_pizza
125.0,1316283013.0,1,0,24,11,0,0,0,68,no_pizza
26786501.0,1332116935.0,574,1205,3,2,0,0,0,59,no_pizza
54791903.0,1329508092.0,6266,5184,0,4,0,1,0,99,no_pizza
16316875.0,1373512562.0,251,4151,1,6,0,0,0,42,no_pizza
883.0,1331171420.0,103,-25,21,7,0,0,0,92,no_pizza
16773901.0,1297361609.0,436,84,1,0,0,0,0,96,no_pizza
48025434.0,1278214262.0,1,0,1,0,0,0,0,53,no_pizza
2538535.0,1310493895.0,1,276,1,0,0,0,0,111,no_pizza
8818589.0,1345076424.0,12,92,2,0,0,0,0,19,no_pizza
14692066.0,1318448007.0,2189,261,1,0,0,0,0,106,no_pizza
58899422.0,1362796223.0,627,261,2,0,0,0,0,40,no_pizza
110160830.0,1321735162.0,7101,30498,2,0,0,0,0,51,no_pizza
65635245.0,1311576470.0,5567,2798,1,0,1,0,0,72,no_pizza
39041771.0,1345954655.0,1935,1881,1,0,0,0,0,36,no_pizza
70132756.0,1353193371.0,2346,9487,5,14,0,1,0,130,no_pizza
12856899.0,1411702423.0,1,1274,5,4,0,0,0,81,no_pizza
14833521.0,1334645645.0,1,61,1,2,0,1,0,111,no_pizza
21365748.0,1321045603.0,679,249,13,2,0,0,0,40,no_pizza
72923210.0,1346263966.0,639,717,0,0,0,0,0,24,no_pizza
63146266.0,1300333032.0,886,15414,3,0,0,0,0,34,no_pizza
79723871.0,1323314683.0,1669,3644,0,0,0,0,0,40,no_pizza
63048813.0,1366144680.0,12256,3178,4,0,0,0,0,4,no_pizza
52098182.0,1332418584.0,1,528,2,1,0,0,0,102,no_pizza
6492923.0,1307745858.0,7610,21374,1,7,1,1,0,104,no_pizza
71341423.0,1295935184.0,260,61,1,1,0,0,0,81,no_pizza
55123567.0,1330030778.0,5951,32819,5,1,0,0,0,42,no_pizza
31367554.0,1390336484.0,11,146,0,0,0,0,0,53,no_pizza
1533234.0,1367206460.0,159,112,2,0,0,1,0,91,no_pizza
29551670.0,1311022700.0,392,2806,1,2,0,0,0,40,no_pizza
9754757.0,1358017208.0,4161,16849,7,0,0,0,0,68,no_pizza
1099918.0,1348864760.0,1,-1,1,1,0,0,0,56,no_pizza
64794820.0,1315328894.0,266,482,6,3,0,1,0,164,no_pizza
496.0,1311455049.0,1,0,2,0,0,0,0,87,no_pizza
17961677.0,1338870115.0,6374,22635,1,2,0,0,0,117,no_pizza
2960366.0,1366396608.0,17,1,0,0,0,1,0,80,no_pizza
27045607.0,1321045603.0,679,249,6,0,0,0,0,62,no_pizza
86922614.0,1283391250.0,1090,6714,4,0,0,0,0,170,no_pizza
53465422.0,1261150156.0,6412,1514,1,0,0,0,0,147,no_pizza
62127967.0,1294003275.0,1346,15432,1,0,0,0,0,38,no_pizza
13237260.0,1333903111.0,609,223,3,1,0,1,0,108,no_pizza
52624562.0,1346199942.0,1,420,3,0,0,0,0,81,no_pizza
2601774.0,1341251956.0,1481,6397,1,1,0,0,0,65,no_pizza
31427000.0,1383278781.0,1343,4984,1,0,0,0,0,84,no_pizza
13919794.0,1327944689.0,1,0,2,1,0,0,0,34,no_pizza
36275934.0,1371260702.0,83,37853,2,2,0,0,0,123,no_pizza
85340358.0,1330998949.0,2861,436,4,2,0,0,0,45,no_pizza
47481379.0,1348404170.0,2249,984,3,0,0,0,0,65,no_pizza
41371298.0,1383533844.0,1,697,2,0,0,0,0,27,no_pizza
3200105.0,1333048993.0,134,3097,1,1,0,1,0,71,no_pizza
21203897.0,1322032373.0,2989,5385,1,1,0,0,0,118,no_pizza
38186542.0,1379718748.0,1,375,0,2,0,0,1,71,no_pizza
166909972.0,1240720254.0,28036,20281,1,0,0,0,0,59,no_pizza
7501382.0,1309922049.0,1,10,1,0,0,0,0,144,no_pizza
563.0,1332015872.0,147,82,1,12,0,0,0,14,no_pizza
11548645.0,1301635801.0,11,139,3,16,1,0,0,65,no_pizza
6750342.0,1421362057.0,222,350,3,1,0,0,0,21,no_pizza
9930501.0,1399497934.0,1,79,0,0,0,1,0,96,no_pizza
19785886.0,1375993202.0,6784,41712,3,0,0,0,0,141,no_pizza
59834237.0,1368438140.0,150,311,3,0,0,0,0,54,no_pizza
16383265.0,1398141744.0,798,766,2,3,0,0,0,68,no_pizza
23444.0,1351176147.0,1,6,0,0,0,0,0,49,no_pizza
6544935.0,1391448990.0,994,3912,4,4,0,0,0,124,no_pizza
